ReactionID,Type,Stoichiometry,Orders,Phase,A,Ea,Reversible
I193,initiation,"{""OH"": -1, ""LIGM2"": -1, ""H2O"": 1, ""RLIGM2A"": 1}","{""OH"": 1, ""LIGM2"": 1, ""H2O"": 1, ""RLIGM2A"": 1}",gas,1*10**9.5,14651-4186,FALSE
I194,initiation,"{""RCH3O"": -1, ""LIGM2"": -1, ""CH3OH"": 1, ""RLIGM2A"": 1}","{""RCH3O"": 1, ""LIGM2"": 1, ""CH3OH"": 1, ""RLIGM2A"": 1}",gas,1*10**8.5,33069-4186,FALSE
I195,initiation,"{""RPHENOL"": -1, ""LIGM2"": -1, ""PHENOL"": 1, ""RLIGM2A"": 1}","{""RPHENOL"": 1, ""LIGM2"": 1, ""PHENOL"": 1, ""RLIGM2A"": 1}",gas,1*10**8.5,54418-4186,FALSE
I196,initiation,"{""RADIO"": -1, ""LIGM2"": -1, ""ADIO"": 1, ""RLIGM2A"": 1}","{""RADIO"": 1, ""LIGM2"": 1, ""ADIO"": 1, ""RLIGM2A"": 1}",gas,1*10**8,54418-4186,FALSE
I197,initiation,"{""RC3H5O2"": -1, ""LIGM2"": -1, ""C3H6O2"": 1, ""RLIGM2B"": 1}","{""RC3H5O2"": 1, ""LIGM2"": 1, ""C3H6O2"": 1, ""RLIGM2B"": 1}",gas,1*10**8,71162-4186,FALSE
I198,initiation,"{""PRFET3"": -1, ""LIGM2"": -1, ""PFET3"": 1, ""RLIGM2B"": 1}","{""PRFET3"": 1, ""LIGM2"": 1, ""PFET3"": 1, ""RLIGM2B"": 1}",gas,1*10**8,54418-4186,FALSE
I199,initiation,"{""RC3H7O2"": -1, ""LIGM2"": -1, ""C3H8O2"": 1, ""RLIGM2B"": 1}","{""RC3H7O2"": 1, ""LIGM2"": 1, ""C3H8O2"": 1, ""RLIGM2B"": 1}",gas,1*10**8,62790-4186,FALSE
I200,initiation,"{""RADIOM2"": -1, ""LIGM2"": -1, ""ADIOM2"": 1, ""RLIGM2B"": 1}","{""RADIOM2"": 1, ""LIGM2"": 1, ""ADIOM2"": 1, ""RLIGM2B"": 1}",gas,1*10**8,54418-4186,FALSE
I201,initiation,"{""PRFET3M2"": -1, ""LIGM2"": -1, ""PFET3M2"": 1, ""RLIGM2B"": 1}","{""PRFET3M2"": 1, ""LIGM2"": 1, ""PFET3M2"": 1, ""RLIGM2B"": 1}",gas,1*10**8,54418-4186,FALSE
I202,initiation,"{""PRLIGH"": -1, ""LIGM2"": -1, ""PLIGH"": 1, ""RLIGM2B"": 1}","{""PRLIGH"": 1, ""LIGM2"": 1, ""PLIGH"": 1, ""RLIGM2B"": 1}",gas,1*10**8.5,41860-4186,FALSE
