ReactionID,Type,Stoichiometry,Orders,Phase,A,Ea,Reversible
I312,initiation,"{""RKET"": -1, ""LIG"": -1, ""KET"": 1, ""RLIGA"": 1}","{""RKET"": 1, ""LIG"": 1, ""KET"": 0, ""RLIGA"": 0}",gas,1*10**8.5,50232,False
I313,initiation,"{""PRADIO"": -1, ""LIG"": -1, ""PADIO"": 1, ""RLIGA"": 1}","{""PRADIO"": 1, ""LIG"": 1, ""PADIO"": 0, ""RLIGA"": 0}",gas,1*10**8,41860,False
I314,initiation,"{""RC3H3O"": -1, ""LIG"": -1, ""C3H4O"": 1, ""RLIGA"": 1}","{""RC3H3O"": 1, ""LIG"": 1, ""C3H4O"": 0, ""RLIGA"": 0}",gas,1*10**8,79534,False
I315,initiation,"{""RLIGB"": -1, ""LIG"": 1, ""RLIGA"": 1}","{""RLIGB"": 1, ""LIG"": 0, ""RLIGA"": 0}",gas,1*10**8,52325,False
I316,initiation,"{""RLIGA"": 1, ""LIG"": 1}","{""RLIGA"": 1, ""LIG"": 1}",gas,1*10**8,52325,False
I317,initiation,"{""PRADIOM2"": -1, ""LIG"": -1, ""PADIOM2"": 1, ""RLIGA"": 1}","{""PRADIOM2"": 1, ""LIG"": 1, ""PADIOM2"": 0, ""RLIGA"": 0}",gas,1*10**8.5,37674,False
I318,initiation,"{""RMGUAI"": -1, ""LIG"": -1, ""MGUAI"": 1, ""RLIGA"": 1}","{""RMGUAI"": 1, ""LIG"": 1, ""MGUAI"": 0, ""RLIGA"": 0}",gas,1*10**8,50232,False
I319,initiation,"{""OH"": -1, ""LIG"": -1, ""H2O"": 1, ""RLIGA"": 1}","{""OH"": 1, ""LIG"": 1, ""H2O"": 0, ""RLIGA"": 0}",gas,1*10**9.5,10465,False
I320,initiation,"{""RCH3O"": -1, ""LIG"": -1, ""CH3OH"": 1, ""RLIGA"": 1}","{""RCH3O"": 1, ""LIG"": 1, ""CH3OH"": 0, ""RLIGA"": 0}",gas,1*10**8.5,28883,False
I321,initiation,"{""RPHENOL"": -1, ""LIG"": -1, ""PHENOL"": 1, ""RLIGA"": 1}","{""RPHENOL"": 1, ""LIG"": 1, ""PHENOL"": 0, ""RLIGA"": 0}",gas,1*10**8.5,50232,False
I322,initiation,"{""RADIO"": -1, ""LIG"": -1, ""ADIO"": 1, ""RLIGA"": 1}","{""RADIO"": 1, ""LIG"": 1, ""ADIO"": 0, ""RLIGA"": 0}",gas,1*10**8,50232,False
I323,initiation,"{""RC3H5O2"": -1, ""LIG"": -1, ""C3H6O2"": 1, ""RLIGB"": 1}","{""RC3H5O2"": 1, ""LIG"": 1, ""C3H6O2"": 0, ""RLIGB"": 0}",gas,1*10**8,66976,False
I324,initiation,"{""PRFET3"": -1, ""LIG"": -1, ""PFET3"": 1, ""RLIGB"": 1}","{""PRFET3"": 1, ""LIG"": 1, ""PFET3"": 0, ""RLIGB"": 0}",gas,1*10**8,50232,False
I325,initiation,"{""RC3H7O2"": -1, ""LIG"": -1, ""C3H8O2"": 1, ""RLIGB"": 1}","{""RC3H7O2"": 1, ""LIG"": 1, ""C3H8O2"": 0, ""RLIGB"": 0}",gas,1*10**8,58604,False
I326,initiation,"{""RADIOM2"": -1, ""LIG"": -1, ""ADIOM2"": 1, ""RLIGB"": 1}","{""RADIOM2"": 1, ""LIG"": 1, ""ADIOM2"": 0, ""RLIGB"": 0}",gas,1*10**8,50232,False
